Vendor,Price,Category,Name,Sales,Views
KingAccount,USD 10.00,Social Engineering,Youtube VIEWS x2000 HIGH QUALITY - EXTRA Delivery - Warranty,3,64.0
KingAccount,USD 5.00,Social Engineering,Tiktok Views x1000 HIGH QUALITY - EXTRA Delivery - Warranty,3,43.0
Makekota,USD 301.00,Other,PRINTING SERVICE: QUEBEC DL,0,39.0
Makekota,USD 251.00,Other,PRINTING SERVICE: QUEBEC HEALTH CARD,0,29.0
Makekota,USD 301.00,Other,PRINTING SERVICE: ONTARIO DL,0,37.0
Makekota,USD 201.00,Other,PRINTING SERVICE: ONTARIO PHOTO CARD,0,28.0
Makekota,USD 301.00,Other,PRINTING SERVICE: MANITOBA DL,0,23.0
Makekota,USD 351.00,Other,PRINTING SERVICE: SASKATCHEWAN DL,0,28.0
Makekota,USD 301.00,Other,PRINTING SERVICE: BRITISH COLUMBIA SERVICE CARD,0,29.0
Makekota,USD 301.00,Other,PRINTING SERVICE: ALBERTA DL,0,31.0
Makekota,USD 251.00,Other,PRINTING SERVICE: ALBERTA HEALTH CARD,0,30.0
Makekota,USD 651.00,Other,PRINTING SERVICE: PERMANENT RESIDENT CARD,0,43.0
Makekota,USD 121.00,Other,PRINTING SERVICE: SOCIAL INSUREANCE CARD,0,32.0
blackmarket,USD 1.50,Other,10K TIKTOK VIEWS *** $1.50 + System Access,0,49.0
blackmarket,USD 15.00,Other,NEW!!! 5000 Instagram Followers $15 + system access,0,53.0
blackmarket,USD 1.00,Other,*** NEW!! 1000 Spotify Premium Plays *** only $1,0,69.0
blackmarket,USD 5.00,Other,*** NEW!! 5000 Spotify Premium Plays *** only $5,0,69.0
Abishekh,USD 50.00,Carding,"HQ CUSTOM SCANS, 100% GUARANTEED VERIFICATIONS",2,
g3cko,USD 1.98,Carding,[AUTO DISPATCH] Windows ISO download - any version any language,2,58.0
g3cko,USD 1.98,Carding,Protect your PC - Zemana AntiLogger,2,
g3cko,USD 3.02,Carding,Mac - Adobe PhotoShop & Illustrator CC 2018,2,67.0
g3cko,USD 1.56,Carding,Windows & Office ISO Downloader - Full,2,65.0
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding VeChain Coin (VET) on your smartphone [WORKING],2,
h3exx,USD 1.00,Carding,!! US FULLZ Loan Cashout Method !!,3,57.0
MrRandyMARSH,USD 1.05,Carding,[AUTO DISPATCH] +++ Solid guide | Get BTCs without carding +++,2,
TheMechanik,USD 14.00,Carding,Buy AliExpress Carding Methods in 2023 for Beginners Best Working,2,16.0
trusteelucky,USD 8.00,Carding,[AUTO DISPATCH] VIDEO CC TO BTC Method WithOut ID/KYC/OTP Verification+1 USA CC EXTRA FREE,2,
TheWizards,USD 12.00,Social Engineering,Hire A Hacker to Hack Gmail and Yahoo Accounts,2,49.0
ThePirateIsland,USD 49.95,Social Engineering,20000 Instagram Followers $50 CHEAPEST ON MARKET,2,104.0
ThePirateIsland,USD 2.95,Social Engineering,1000 Instagram VIEWS $3 CHEAPEST ON MARKET,2,
ThePirateIsland,USD 34.95,Social Engineering,5000 Instagram REAL Followers $35 CHEAPEST ON MARKET,2,
TheWizards,USD 10.00,Social Engineering,The Complete and Utter Guide To Creating MDMA,2,
blackmarket,USD 1.50,Other,10K TIKTOK VIEWS *** $1.50 + System Access,0,60.0
blackmarket,USD 7.50,Other,50K TIKTOK VIEWS *** $7.50 + System Access,0,58.0
blackmarket,USD 8.00,Other,NEW!!! 1000 TIKTOK Followers $8 + System Access,0,62.0
blackmarket,USD 10.00,Other,NEW!!! 5000 Telegram Channel Members $10 + System Access,0,55.0
blackmarket,USD 6.00,Other,NEW!!! 2000 youtube Views $6 + System Access,0,47.0
blackmarket,USD 9.00,Other,NEW!!! 3000 youtube Views $9 + System Access,0,45.0
blackmarket,USD 12.00,Other,NEW!!! 4000 youtube Views $12 + System Access,0,50.0
blackmarket,USD 30.00,Other,NEW!!! 10K youtube Views $30 + System Access,0,66.0
blackmarket,USD 2.00,Other,*** NEW!! 2000 Spotify Premium Plays *** only $2,0,104.0
blackmarket,USD 5.00,Other,*** NEW!! 5000 Spotify Premium Plays *** only $5,0,53.0
blackmarket,USD 12.00,Other,*** NEW!!! 2000 Twitch Followers *** $12 + System access,0,53.0
blackmarket,USD 30.00,Other,*** NEW!!! 5000 Twitch Followers *** $30 + System access,0,53.0
trustar,USD 30.00,Other,Custom Country outside USA custom utility bill,0,22.0
trustar,USD 16.00,Other,USA Drivers License Number Lookup,0,42.0
iSellVerifiedAccounts,USD 149.00,Other,[AUTO DISPATCH] ANY Crypto Exchange - Fully verified accounts,0,22.0
TheWizards,USD 12.00,Social Engineering,You Can Hire a Hacker to Delete Your Criminal Record,2,
TheWizards,USD 12.00,Social Engineering,A Facebook EMail Hacking Service,2,
TheWizards,USD 10.00,Social Engineering,The Dirty 5000 Onion Webpages,2,112.0
KingAccount,USD 4.00,Social Engineering,Instagram VIEWS x1000 HIGH QUALITY - EXTRA Delivery - Warranty,2,33.0
KingAccount,USD 5.00,Social Engineering,Youtube VIEWS x1000 HIGH QUALITY - EXTRA Delivery - Warranty,2,
TheWizards,USD 10.00,Social Engineering,Cracking any Wi-Fi Wireless Network Program,2,89.0
trustar,USD 10.00,Other,"Bank Check Creation Service, Best Quality and Best Price!",0,60.0
fullzipp,USD 150.01,Other,%50 discount on CCNA exam vouchers *VALID FOR 6+ MONTHS!!!*,0,15.0
BestBuyVendor,USD 122.00,Other,Ethereum private key metamask (NODE RPC),0,21.0
fullzipp,USD 20.01,Other,Nerdwallet.com | Credit Score 700+,0,19.0
vendetta,USD 20.00,Other,5000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,4.0
vendetta,USD 65.00,Other,20.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,2.0
vendetta,USD 140.00,Other,50.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,1.0
vendetta,USD 250.00,Other,100.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,1.0
vendetta,USD 5.00,Other,1000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,1.0
vendetta,USD 18.00,Other,4000 x TikTok - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,4.0
vendetta,USD 20.00,Other,5000 x TikTok - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,3.0
vendetta,USD 9.50,Other,2000 x TikTok - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,3.0
TheMechanik,USD 130.00,Other,Premium IPTV For 1 year Instant Delivery,0,17.0
vendetta,USD 9.00,Other,5000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,6.0
vendetta,USD 16.00,Other,10.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,7.0
g3cko,USD 1.98,Carding,ManyCam Enterprise + Crack,1,60.0
Color,USD 1.00,Carding,♚ Carding Bestbuy [Tutorial] ♚,1,
Color,USD 1.00,Carding,♚ Ebay Carding [New 2020] ♚,1,
Color,USD 1.00,Carding,SAFETY IN CARDING. MANUAL,1,31.0
Color,USD 1.07,Carding,Western Union Carding,1,65.0
Color,USD 1.07,Carding,Successful Carding Tips,1,
Color,USD 1.00,Carding,♚ Carding with Paypal ♚,1,86.0
Color,USD 1.07,Carding,"[Tutorial]Hack Credit Card,Carding Cvv,Paypal Cash",1,35.0
Color,USD 1.07,Carding,♚ A Carder’s First Experience ♚,1,68.0
vendetta,USD 57.00,Other,40.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,5.0
vendetta,USD 72.00,Other,50.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,4.0
vendetta,USD 101.00,Other,75.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,3.0
vendetta,USD 125.00,Other,100.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,11.0
vendetta,USD 299.00,Other,250.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,8.0
vendetta,USD 599.00,Other,500.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,7.0
vendetta,USD 999.00,Other,1 Milion x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,0,12.0
blackmarket,USD 40.00,Other,1000 CoinMarketCap Watchlist + System Access,0,9.0
iSellVerifiedAccounts,USD 15.00,Other,"SMS Verification - Telegram,Gmail,Proton,Coinbase,Airbnb+++",0,2.0
ninjagarden,USD 6.59,Other,excess/tips,0,14.0
Safety1st,USD 2.97,Other,[AUTO DISPATCH] 2024 Amazon Refund Scam Guide Method - GET ITEMS FREE,0,0.0
Safety1st,USD 3.22,Other,[AUTO DISPATCH] Best Paypal Guide On Abacus Market Start Making Thousands A Week,0,0.0
Safety1st,USD 3.22,Other,[AUTO DISPATCH] How to Launder Your Dirty Money - Money Laundering - CLEAN WASH YOUR DIRTY MONEY,0,1.0
Safety1st,USD 4.30,Other,[AUTO DISPATCH] 600 .onion Darkweb Links - Updated in 2023 - Darknet Websites +Invite Links,0,0.0
Safety1st,USD 5.37,Other,[AUTO DISPATCH] Bitcoin Laundering Tutorial - Bitcoin Laundry in 2024 - WASH YOUR BTC - Get Clean Bitcoins,0,1.0
excelllence,USD 9.99,Carding,★DUMPS+ PIN PACK TR1+TR2 PACKAGE TUTORIAL 100 %★,1,29.0
Tuts4ever,USD 0.99,Carding,2022 GUIDE Carding BTC on RIA Money Transfer,1,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding ETH [WORKING],1,33.0
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding XRP [WORKING],1,34.0
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding BitTorrent on your smartphone [WORKING],1,26.0
h3exx,USD 1.00,Carding,!! US FULLZ Loan Cashout Method !!,1,41.0
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,1,
MrRandyMARSH,USD 1.05,Carding,[AUTO DISPATCH] Working guide | How to setup your device before carding,1,
excelllence,USD 20.00,Carding,♕ 2021♕ LIMITLESS CASH ♕ ★★♕ ULTIMATE ATM HACKING,1,
Safety1st,USD 4.29,Carding,[AUTO DISPATCH] The All in One Carding Guide - LEARN CARDING (for Beginners),1,
TheWizards,USD 10.00,Carding,The Complete and Utter Mobile Carding Set Up Pack,1,23.0
h3exx,USD 4.00,Carding,16 Easily Cardable Shopify Sites Who Sells Gift C,1,52.0
g3cko,USD 1.98,Carding,The Best Photoshop Tutorial Ever,1,92.0
g3cko,USD 1.98,Carding,Android emulator - must have for every proof,1,88.0
Safety1st,USD 3.22,Other,"[AUTO DISPATCH] Buy-Sell Crypto Anonymously 2023 Without ID Verification [Bitcoin (BTC), Monero (XMR)...]",0,0.0
Safety1st,USD 8.95,Other,[AUTO DISPATCH] Offshore Banking Anonymous Pack (472 pages in 4 ebooks),0,0.0
Topvendor,USD 17.50,Other,Riseup.net invites Lifetime Access,0,39.0
HappyShopOrigi,USD 10.74,Other,100% CREDIT CARD CASHOUT BIG GUIDE,0,2.0
HappyShopOrigi,USD 33.59,Other,HQ CREDIT CARD $9K-$25K BALANCE[100% LIVE],0,5.0
blackmarket,USD 30.00,Other,NEW!!! 10K Instagram Followers $30 + system access,0,56.0
Topvendor,USD 89.00,Other,Checker Full Source Code Services,0,16.0
gotmilk,USD 18.90,Other,extra shipping,0,62.0
agedAB,USD 100.00,Other,CASHOUT SERVICE,0,84.0
blackmarket,USD 6.00,Other,*** NEW!!! 1000 Twitch Followers *** $6 + System access,0,66.0
Safety1st,USD 3.22,Other,[AUTO DISPATCH] 2024 Login to Hacked (Stolen) PayPal Accounts Safe + CASHOUT,0,1.0
GodsOfPluto,USD 150.00,Other,CPN CREDIT PROFILE,0,70.0
agedAB,USD 100.00,Other,I CAN CASHOUT PAYPAL TRANSFERS,0,118.0
iSellVerifiedAccounts,USD 500.00,Other,"💰💰⚡I BUY ALL NETELLER,SKRILL FUNDS⚡💰💰",0,39.0
vendetta,USD 450.00,Other,200.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,4.0
excelllence,USD 9.99,Carding,★DUMPS+ PIN PACK TR1+TR2 PACKAGE TUTORIAL 100 %★,1,36.0
excelllence,USD 35.00,Carding,▬ HACKED★5K to 1 Million Bitcoin Private Key ▬ ★,1,63.0
excelllence,USD 3.00,Carding,♕ BIN LIST - EASY RESET - NON VBV MCSC - WORLDWIDE,1,
trustar,USD 27.00,Carding,100% valid RDP 4GB ram ADMIN USA,1,33.0
TheWizards,USD 10.00,Social Engineering,Turn Credit Card to Bitcoin So Easily 100% Working,1,31.0
TheWizards,USD 10.00,Social Engineering,"The Complete and Utter Cocaine,MDMA,Heroin,LSD,Amphetamine Synthesis",1,
TheWizards,USD 10.00,Social Engineering,The Complete and Utter Mail Drop Creation Pack,1,55.0
TheWizards,USD 10.00,Social Engineering,VyprVPN Premium VPN Account with Warranty,1,32.0
TheWizards,USD 10.00,Social Engineering,A GMail Hacking Service for Hire,1,36.0
TheWizards,USD 10.00,Social Engineering,The Complete and Utter Guide on Speed Amphetamine,1,
TheWizards,USD 10.00,Social Engineering,Hire a Professional Hacking Service,1,69.0
TheWizards,USD 10.00,Social Engineering,Telegram Account and Password Hacker,1,
TheWizards,USD 10.00,Social Engineering,Three Ways on How to Get Free Unlimited SMS Verification,1,15.0
TheWizards,USD 10.00,Social Engineering,The Complete and Utter Crime Exploit Kit,1,44.0
TheWizards,USD 7.00,Social Engineering,The Complete and Utter Walmart Return Scam,1,16.0
vendetta,USD 500.00,Other,250.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,5.0
vendetta,USD 1500.00,Other,1.000.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,2.0
vendetta,USD 11.00,Other,2500 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,7.0
vendetta,USD 36.00,Other,10.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,0,10.0
blackmarket,USD 20.00,Other,NEW!!! 10K Telegram Channel Members $20 + System Access,0,85.0
Safety1st,USD 4.30,Other,"[AUTO DISPATCH] Mine Crypto (ETH, BTC, XMR) or any coin for FREE",0,0.0
Straightbizz,USD 1.00,Other,Tip jar,0,0.0
